strategy_id,token_symbol,token_address,entry_price,exit_price,pnl_percent,profit,fees_paid,duration_seconds,exit_reason,entry_confidence,timestamp
Bot_032,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,16288.651872963961,0.136161322592618,0.0007012308113519827,0.03094952260241295,0.989876,SellCategory.SECURITY_FAILED: Bundled 45.0% (max 43.7%),56.4,2026-02-23T23:46:58.908490+00:00
Bot_027,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,16802.7974288266,3.29692396438068,0.033958316833121005,0.0629059273247357,2.29364,SellCategory.SECURITY_FAILED: Bundled 45.6% (max 45.6%),47.400000000000006,2026-02-23T23:46:59.709442+00:00
Bot_034,CatGod,6mRS43wFJvVQmBmL3YbFrYsAjsi4ut8SPC4wF5nepump,6910.947054752822,5656.90670961549,-22.91392017306032,-0.11800668889126065,0.02727814364253833,2.891422,SellCategory.STOP_LOSS: Down 18.1% from entry ($6911 => $5657),49.800000000000004,2026-02-23T23:46:59.797463+00:00
Bot_066,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15377.191658794418,15473.256351757038,-5.236912329919017,-0.02697009849908294,0.030093708293842794,0.991713,SellCategory.SECURITY_FAILED: Bundled 43.3% (max 43.2%),45.400000000000006,2026-02-23T23:47:04.621374+00:00
Bot_037,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15377.191658794418,16285.525529039704,-0.26232045935900533,-0.002701900731397755,0.06177210616294646,3.020521,SellCategory.SECURITY_FAILED: Bundled 43.8% (max 43.3%),48.6,2026-02-23T23:47:06.650092+00:00
Bot_016,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,13312.714094722962,-18.158721996914,-0.09351741828410709,0.02803554376440906,23.252819,SellCategory.STOP_LOSS: Down 13.1% from entry ($15319 => $13313),50.2,2026-02-23T23:47:20.668574+00:00
Bot_048,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,13312.714094722962,-18.158721996914,-0.09351741828410709,0.02803554376440906,23.252967,SellCategory.STOP_LOSS: Down 13.1% from entry ($15319 => $13313),46.8,2026-02-23T23:47:20.668831+00:00
Bot_052,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,11403.333512825391,-29.896835345169226,-0.15396870202762153,0.026165916432135415,31.041848,SellCategory.STOP_LOSS: Down 25.6% from entry ($15319 => $11403),43.099999999999994,2026-02-23T23:47:28.457733+00:00
Bot_053,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,11403.333512825391,-29.896835345169226,-0.15396870202762153,0.026165916432135415,31.042411,SellCategory.STOP_LOSS: Down 25.6% from entry ($15319 => $11403),57.0,2026-02-23T23:47:28.458304+00:00
Bot_067,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,11403.333512825391,-29.896835345169226,-0.15396870202762153,0.026165916432135415,31.042509,SellCategory.STOP_LOSS: Down 25.6% from entry ($15319 => $11403),55.3,2026-02-23T23:47:28.458447+00:00
Bot_086,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,14855.412147566774,11403.333512825391,-27.70943309392907,-0.1427035804337347,0.026514322254626764,11.298625,SellCategory.STOP_LOSS: Down 23.2% from entry ($14855 => $11403),59.0,2026-02-23T23:47:28.458581+00:00
Bot_010,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,11179.048973767602,-31.275647598044,-0.16106958512992658,0.025946301490827012,31.249483,SellCategory.STOP_LOSS: Down 27.0% from entry ($15319 => $11179),53.800000000000004,2026-02-23T23:47:28.665217+00:00
Bot_042,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,13331.59347987649,11179.048973767602,-21.030878616851133,-0.10830902487678334,0.0275780713955634,1.793493,SellCategory.STOP_LOSS: Down 16.1% from entry ($13332 => $11179),75.9,2026-02-23T23:47:28.666171+00:00
BASE,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,10294.047350026807,-36.71628602882524,-0.18908887304844996,0.025079725575821138,31.95879,SellCategory.STOP_LOSS: Down 32.8% from entry ($15319 => $10294),50.0,2026-02-23T23:47:29.374470+00:00
Bot_003,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11156.349850121134,10294.047350026807,-13.104247925403095,-0.06748687681582594,0.028840612057242497,0.283639,SellCategory.SECURITY_FAILED: Bundled 35.7% (max 35.6%),69.3,2026-02-23T23:47:29.375292+00:00
Bot_033,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,10294.047350026807,-36.71628602882524,-0.18908887304844996,0.025079725575821138,31.959771,SellCategory.STOP_LOSS: Down 32.8% from entry ($15319 => $10294),74.0,2026-02-23T23:47:29.375584+00:00
Bot_059,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,10294.047350026807,-36.71628602882524,-0.18908887304844996,0.025079725575821138,31.959854,SellCategory.STOP_LOSS: Down 32.8% from entry ($15319 => $10294),62.7,2026-02-23T23:47:29.375764+00:00
Bot_094,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,10294.047350026807,-36.71628602882524,-0.18908887304844996,0.025079725575821138,31.959929,SellCategory.STOP_LOSS: Down 32.8% from entry ($15319 => $10294),41.2,2026-02-23T23:47:29.375961+00:00
Bot_036,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,14855.412147566774,10039.637280839843,-36.35448180595981,-0.374451162601386,0.05027470631129734,12.801098,SellCategory.STOP_LOSS: Down 32.4% from entry ($14855 => $10040),63.5,2026-02-23T23:47:29.960871+00:00
Bot_034,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,6891.174808784655,-20.974840815160764,-0.10802043019807794,0.027586997004183156,0.295021,SellCategory.STOP_LOSS: Down 16.1% from entry ($8212 => $6891),59.800000000000004,2026-02-23T23:47:30.470675+00:00
Bot_048,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,6891.174808784655,-20.974840815160764,-0.10802043019807794,0.027586997004183156,0.295457,SellCategory.STOP_LOSS: Down 16.1% from entry ($8212 => $6891),46.8,2026-02-23T23:47:30.471156+00:00
Bot_052,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,6329.687752997226,-27.413743497946395,-0.14118077901442394,0.026561419205739463,1.669714,SellCategory.STOP_LOSS: Down 22.9% from entry ($8212 => $6330),43.099999999999994,2026-02-23T23:47:31.845430+00:00
Bot_053,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,6329.687752997226,-27.413743497946395,-0.14118077901442394,0.026561419205739463,1.66989,SellCategory.STOP_LOSS: Down 22.9% from entry ($8212 => $6330),57.0,2026-02-23T23:47:31.845612+00:00
Bot_010,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,5859.79537303928,-32.80227610033856,-0.1689317219167436,0.02570314262113164,2.991376,SellCategory.STOP_LOSS: Down 28.6% from entry ($8212 => $5860),53.800000000000004,2026-02-23T23:47:33.166947+00:00
Bot_059,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,5859.79537303928,-32.80227610033856,-0.1689317219167436,0.02570314262113164,2.991558,SellCategory.STOP_LOSS: Down 28.6% from entry ($8212 => $5860),62.7,2026-02-23T23:47:33.167304+00:00
Bot_094,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,5644.237663359743,-35.27420328164148,-0.18166214690045362,0.025309418137099374,3.08392,SellCategory.STOP_LOSS: Down 31.3% from entry ($8212 => $5644),51.2,2026-02-23T23:47:33.259821+00:00
Bot_055,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,5340.12812128066,-38.761606466043716,-0.19962227330012516,0.024753950310305407,3.48778,SellCategory.STOP_LOSS: Down 35.0% from entry ($8212 => $5340),43.5,2026-02-23T23:47:33.663512+00:00
Bot_040,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11156.349850121134,9716.35092961877,-17.980790961901583,-0.09260107345379315,0.028063884326171344,4.9707,SellCategory.STOP_LOSS: Down 12.9% from entry ($11156 => $9716),55.0,2026-02-23T23:47:34.062681+00:00
Bot_097,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11403.333512825391,9716.35092961877,-19.757236826398305,-0.10174976965595128,0.02778093495909429,5.488023,SellCategory.STOP_LOSS: Down 14.8% from entry ($11403 => $9716),81.89999999999999,2026-02-23T23:47:34.063108+00:00
Bot_006,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,4894.848292511229,-43.867892451627085,-0.2259196461258795,0.023940629501261457,4.094391,SellCategory.STOP_LOSS: Down 40.4% from entry ($8212 => $4895),41.9,2026-02-23T23:47:34.269938+00:00
Bot_000,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,9017.740570511616,-44.562513117930294,-0.22949694255734104,0.02382999146729873,37.040752,SellCategory.STOP_LOSS: Down 41.1% from entry ($15319 => $9018),68.5,2026-02-23T23:47:34.456443+00:00
Bot_023,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,13331.59347987649,9017.740570511616,-36.29842293512417,-0.1869368781158895,0.02514628212012713,7.584254,SellCategory.STOP_LOSS: Down 32.4% from entry ($13332 => $9018),83.19999999999999,2026-02-23T23:47:34.456853+00:00
Bot_034,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11403.333512825391,9017.740570511616,-25.526730538855197,-0.13146266227510428,0.026861979517264815,5.999465,SellCategory.STOP_LOSS: Down 20.9% from entry ($11403 => $9018),49.800000000000004,2026-02-23T23:47:34.457113+00:00
Bot_046,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,11156.349850121134,9017.740570511616,-23.878011996304753,-0.12297176178096947,0.02712458468718651,5.365225,SellCategory.STOP_LOSS: Down 19.2% from entry ($11156 => $9018),51.099999999999994,2026-02-23T23:47:34.457262+00:00
Bot_058,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,13331.59347987649,9017.740570511616,-36.29842293512417,-0.373873756231779,0.05029256424025426,7.584656,SellCategory.STOP_LOSS: Down 32.4% from entry ($13332 => $9018),100.0,2026-02-23T23:47:34.457410+00:00
Bot_068,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,13331.59347987649,9017.740570511616,-36.29842293512417,-0.1869368781158895,0.02514628212012713,7.585569,SellCategory.STOP_LOSS: Down 32.4% from entry ($13332 => $9018),64.0,2026-02-23T23:47:34.458363+00:00
Bot_087,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,9017.740570511616,-44.562513117930294,-0.22949694255734104,0.02382999146729873,37.042536,SellCategory.STOP_LOSS: Down 41.1% from entry ($15319 => $9018),43.8,2026-02-23T23:47:34.458540+00:00
Bot_093,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,9017.740570511616,-44.562513117930294,-0.22949694255734104,0.02382999146729873,37.042593,SellCategory.STOP_LOSS: Down 41.1% from entry ($15319 => $9018),63.7,2026-02-23T23:47:34.458619+00:00
Bot_005,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,7226.494199347489,4117.438892301875,-46.34205776582931,-0.23866159749402094,0.02354654853111275,1.797841,SellCategory.STOP_LOSS: Down 43.0% from entry ($7226 => $4117),56.4,2026-02-23T23:47:34.559982+00:00
Bot_025,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,4117.438892301875,-52.78290379701037,-0.2718319545546034,0.022520661199342165,4.384619,SellCategory.STOP_LOSS: Down 49.9% from entry ($8212 => $4117),51.3,2026-02-23T23:47:34.560244+00:00
Bot_027,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,7736.549382789613,4117.438892301875,-49.87961827442757,-0.513760068226604,0.04596618345690916,2.900359,SellCategory.STOP_LOSS: Down 46.8% from entry ($7737 => $4117),47.400000000000006,2026-02-23T23:47:34.560314+00:00
Bot_039,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,4117.438892301875,-52.78290379701037,-0.2718319545546034,0.022520661199342165,4.384761,SellCategory.STOP_LOSS: Down 49.9% from entry ($8212 => $4117),58.2,2026-02-23T23:47:34.560433+00:00
Bot_080,CO₂,ERd9zYA8w6VvfFqRUuvAvnvaPvcBGa8M5575E9nSpump,8212.254447777868,4117.438892301875,-52.78290379701037,-0.2718319545546034,0.022520661199342165,4.384889,SellCategory.STOP_LOSS: Down 49.9% from entry ($8212 => $4117),54.0,2026-02-23T23:47:34.560698+00:00
Bot_005,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,13330.718607539624,7281.626071423822,-48.55900960181367,-0.2500788994493404,0.023193436099504937,14.08451,SellCategory.STOP_LOSS: Down 45.4% from entry ($13331 => $7282),56.4,2026-02-23T23:47:35.060189+00:00
Bot_009,ANIMALS,7iwb7DSjMzbEhamtghZ27tSU2EqrMpAp6F9DsT8jpump,15318.93989463331,7281.626071423822,-55.2354554161018,-0.2844625953929243,0.022130022822899248,37.644605,SellCategory.STOP_LOSS: Down 52.5% from entry ($15319 => $7282),40.1,2026-02-23T23:47:35.060330+00:00
