         128959544 function calls (128371904 primitive calls) in 467.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   730/13    0.002    0.000    0.967    0.074 <frozen importlib._bootstrap>:911(_load_unlocked)
   680/10    0.002    0.000    0.966    0.097 <frozen importlib._bootstrap_external>:989(exec_module)
  1684/22    0.001    0.000    0.962    0.044 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     8732    0.029    0.000    0.881    0.000 _transport.py:173(send)
   237/48    0.001    0.000    0.853    0.018 {built-in method builtins.__import__}
        4    0.000    0.000    0.844    0.211 browser.py:1(<module>)
    51892    0.071    0.000    0.824    0.000 virtual_bot.py:104(_manage_active_trade)
      2/1    0.000    0.000    0.803    0.803 <frozen runpy>:105(_get_module_details)
        1    0.000    0.000    0.802    0.802 pulse_websocket_feed.py:1(<module>)
    17361    0.115    0.000    0.759    0.000 _transport.py:83(deserialize_message)
        1    0.000    0.000    0.730    0.730 provider.py:1(<module>)
    90554    0.600    0.000    0.716    0.000 {built-in method posix.stat}
     8732    0.235    0.000    0.710    0.000 _connection.py:603(_extract_stack_trace_information_from_stack)
    87313    0.098    0.000    0.664    0.000 linecache.py:52(checkcache)
  490/174    0.001    0.000    0.649    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.546    0.546 cdp_util.py:740(start_sync)
    52400    0.063    0.000    0.528    0.000 inspect.py:1670(_get_code_position)
    21990    0.082    0.000    0.525    0.000 __init__.py:299(loads)
    52400    0.120    0.000    0.518    0.000 inspect.py:944(getsourcefile)
    16906    0.082    0.000    0.516    0.000 unix_events.py:523(_read_ready)
  3503951    0.484    0.000    0.484    0.000 {method 'get' of 'dict' objects}
     8034    0.020    0.000    0.483    0.000 inspect.py:3308(signature)
     8034    0.015    0.000    0.463    0.000 inspect.py:3050(from_callable)
    61241    0.455    0.000    0.457    0.000 {built-in method builtins.next}
8214/8034    0.111    0.000    0.438    0.000 inspect.py:2470(_signature_from_callable)
  1572274    0.432    0.000    0.432    0.000 {built-in method now}
3865595/3846537    0.421    0.000    0.425    0.000 {built-in method builtins.len}
  3379206    0.401    0.000    0.401    0.000 {built-in method builtins.getattr}
     3322    0.030    0.000    0.392    0.000 interceptors.py:30(on_pulse_frame)
   107599    0.087    0.000    0.389    0.000 base_events.py:785(call_soon)
       14    0.000    0.000    0.350    0.025 cdp_util.py:278(start)
     2478    0.020    0.000    0.337    0.000 provider.py:112(consume)
        1    0.000    0.000    0.331    0.331 cdp_util.py:49(__activate_virtual_display_as_needed)
    17468    0.071    0.000    0.328    0.000 tasks.py:435(wait)
     8732    0.011    0.000    0.316    0.000 streams.py:345(write)
    21990    0.068    0.000    0.316    0.000 decoder.py:332(decode)
    51548    0.153    0.000    0.307    0.000 streams.py:722(readexactly)
    16905    0.022    0.000    0.301    0.000 base_subprocess.py:284(data_received)
   111046    0.164    0.000    0.300    0.000 base_events.py:814(_call_soon)
     8732    0.025    0.000    0.294    0.000 unix_events.py:680(write)
52305/52303    0.067    0.000    0.293    0.000 futures.py:253(set_result)
   139758    0.080    0.000    0.291    0.000 traceback.py:318(line)
    16905    0.045    0.000    0.279    0.000 base_subprocess.py:204(_pipe_data_received)
        1    0.000    0.000    0.278    0.278 sb_cdp.py:1(<module>)
1222943/1222925    0.193    0.000    0.276    0.000 {built-in method builtins.isinstance}
    15510    0.053    0.000    0.275    0.000 base_events.py:451(create_task)
     8034    0.106    0.000    0.272    0.000 inspect.py:2366(_signature_from_function)
     3416    0.021    0.000    0.264    0.000 tasks.py:931(run_coroutine_threadsafe)
  1485316    0.262    0.000    0.262    0.000 {built-in method fromisoformat}
  1485523    0.260    0.000    0.260    0.000 {method 'replace' of 'str' objects}
     8733    0.236    0.000    0.256    0.000 {built-in method posix.write}
    16905    0.022    0.000    0.253    0.000 subprocess.py:64(pipe_data_received)
      681    0.005    0.000    0.249    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     8732    0.016    0.000    0.247    0.000 pathlib.py:741(parents)
       10    0.000    0.000    0.241    0.024 webdriver.py:1(<module>)
        9    0.000    0.000    0.237    0.026 service.py:1(<module>)
    16909    0.074    0.000    0.234    0.000 base_subprocess.py:194(_call)
   113657    0.072    0.000    0.232    0.000 {built-in method builtins.any}
     8732    0.012    0.000    0.231    0.000 pathlib.py:267(__init__)
    16905    0.046    0.000    0.231    0.000 streams.py:499(feed_data)
     8732    0.037    0.000    0.228    0.000 _transport.py:77(serialize_message)
      858    0.227    0.000    0.227    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
52312/52311    0.093    0.000    0.226    0.000 futures.py:161(__schedule_callbacks)
    15497    0.089    0.000    0.220    0.000 tasks.py:111(__init__)
     8740    0.040    0.000    0.217    0.000 pathlib.py:551(drive)
    52401    0.108    0.000    0.209    0.000 inspect.py:904(getfile)
       30    0.002    0.000    0.209    0.007 shadow_fleet_events_mixin.py:70(_process_new_token_workflow)
     3417    0.065    0.000    0.204    0.000 tasks.py:43(all_tasks)
   489521    0.131    0.000    0.201    0.000 __init__.py:1517(debug)
    26106    0.048    0.000    0.200    0.000 <frozen _collections_abc>:811(__contains__)
    130/3    0.002    0.000    0.192    0.064 base_events.py:1910(_run_once)
     8701    0.033    0.000    0.189    0.000 _generated.py:11514(wait_for_timeout)
   139710    0.108    0.000    0.178    0.000 linecache.py:26(getline)
     8739    0.018    0.000    0.177    0.000 pathlib.py:407(_load_parts)
   148441    0.046    0.000    0.173    0.000 traceback.py:391(extended_frame_gen)
        2    0.000    0.000    0.165    0.083 shutil.py:1525(which)
      120    0.000    0.000    0.164    0.001 <frozen genericpath>:16(exists)
       90    0.000    0.000    0.164    0.002 shutil.py:1510(_access_check)
    16906    0.028    0.000    0.163    0.000 streams.py:474(_wakeup_waiter)
     8739    0.062    0.000    0.158    0.000 pathlib.py:387(_parse_path)
    27782    0.103    0.000    0.155    0.000 <frozen os>:680(__getitem__)
      688    0.155    0.000    0.155    0.000 {method 'read' of '_io.BufferedReader' objects}
      682    0.002    0.000    0.154    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    17468    0.068    0.000    0.152    0.000 tasks.py:522(_wait)
     3416    0.009    0.000    0.151    0.000 tasks.py:940(callback)
    21990    0.145    0.000    0.145    0.000 decoder.py:343(raw_decode)
     8745    0.010    0.000    0.143    0.000 __init__.py:183(dumps)
   741288    0.143    0.000    0.143    0.000 {built-in method builtins.sum}
