         128959544 function calls (128371904 primitive calls) in 467.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
     2033    0.000    0.000    0.000    0.000 dataclasses.py:432(<genexpr>)
        1    0.000    0.000    0.000    0.000 xfixes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _impl_to_api_mapping.py:33(ImplToApiMapping)
        2    0.000    0.000    0.000    0.000 argparse.py:173(__init__)
        7    0.000    0.000    0.000    0.000 base_subprocess.py:156(_connect_pipes)
     1833    0.000    0.000    0.000    0.000 rq.py:259(__init__)
        1    0.000    0.000    0.000    0.000 provider.py:34(BrowserPulseProvider)
        2    0.000    0.000    0.000    0.000 client.py:96(connect)
        1    0.000    0.000    0.000    0.000 events.py:211(AbstractEventLoop)
      265    0.000    0.000    0.000    0.000 {method '__format__' of 'str' objects}
      491    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
       16    0.000    0.000    0.000    0.000 permessage_deflate.py:92(decode)
        1    0.000    0.000    0.000    0.000 process_lock.py:165(__enter__)
        1    0.000    0.000    0.000    0.000 runners.py:57(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:2021(basicConfig)
        1    0.000    0.000    0.000    0.000 typing.py:2815(NamedTuple)
        8    0.000    0.000    0.000    0.000 tempfile.py:775(opener)
       90    0.000    0.000    0.000    0.000 inspect.py:2121(_signature_is_builtin)
        2    0.000    0.000    0.000    0.000 runners.py:131(_lazy_init)
        1    0.000    0.000    0.000    0.000 runners.py:1(<module>)
        4    0.000    0.000    0.000    0.000 http11.py:210(parse)
        1    0.000    0.000    0.000    0.000 webdriver.py:180(WebDriver)
        1    0.000    0.000    0.000    0.000 timeouts.py:26(Timeout)
        1    0.000    0.000    0.000    0.000 extensions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 process_lock.py:116(acquire)
     1176    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        3    0.000    0.000    0.000    0.000 gettext.py:631(gettext)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        3    0.000    0.000    0.000    0.000 _network.py:797(__init__)
        1    0.000    0.000    0.000    0.000 langbulgarianmodel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 provider.py:64(start)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
     1113    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 _js_handle.py:207(serialize_argument)
      657    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.000    0.000 _locator.py:65(Locator)
        2    0.000    0.000    0.000    0.000 socket.py:946(getaddrinfo)
       10    0.000    0.000    0.000    0.000 nest_asyncio.py:37(_get_event_loop)
        3    0.000    0.000    0.000    0.000 gettext.py:593(dgettext)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 browser.py:31(launch_stealth_browser)
       13    0.000    0.000    0.000    0.000 _impl_to_api_mapping.py:75(from_impl)
       33    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.000    0.000 xinerama.py:1(<module>)
       39    0.000    0.000    0.000    0.000 messages.py:43(get)
        3    0.000    0.000    0.000    0.000 unix_connect.py:146(new_get_auth)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       17    0.000    0.000    0.000    0.000 _frame.py:115(_on_load_state)
     1200    0.000    0.000    0.000    0.000 typing.py:1599(<genexpr>)
       18    0.000    0.000    0.000    0.000 locks.py:181(set)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.000    0.000 parse.py:1095(_splittype)
        1    0.000    0.000    0.000    0.000 chinese.py:1(<module>)
      130    0.000    0.000    0.000    0.000 typing.py:2476(overload)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dom.py:73(PseudoType)
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:8(PackageMetadata)
       27    0.000    0.000    0.000    0.000 threading.py:468(acquire)
       13    0.000    0.000    0.000    0.000 connection.py:463(_register_handlers)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        1    0.000    0.000    0.000    0.000 res.py:1(<module>)
        1    0.000    0.000    0.000    0.000 action_builder.py:31(ActionBuilder)
        3    0.000    0.000    0.000    0.000 gettext.py:534(translation)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        2    0.000    0.000    0.000    0.000 unix_events.py:67(close)
       62    0.000    0.000    0.000    0.000 typing.py:1061(<genexpr>)
       15    0.000    0.000    0.000    0.000 _connection.py:209(_add_event_handler)
      172    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 langthaimodel.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {method 'cancel' of '_asyncio.Task' objects}
        1    0.000    0.000    0.000    0.000 nest_asyncio.py:64(get_event_loop)
       15    0.000    0.000    0.000    0.000 contextlib.py:205(__aenter__)
       79    0.000    0.000    0.000    0.000 base.py:62(__init__)
      680    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       29    0.000    0.000    0.000    0.000 {built-in method time.localtime}
     2033    0.000    0.000    0.000    0.000 dataclasses.py:1142(<genexpr>)
      116    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        1    0.000    0.000    0.000    0.000 _driver.py:36(get_driver_env)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
      235    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
        1    0.000    0.000    0.000    0.000 screensaver.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
        4    0.000    0.000    0.000    0.000 browser.py:186(wait)
        3    0.000    0.000    0.000    0.000 gettext.py:479(find)
       21    0.000    0.000    0.000    0.000 display.py:317(extension_add_subevent)
        2    0.000    0.000    0.000    0.000 client.py:73(__init__)
      530    0.000    0.000    0.000    0.000 virtual_bot.py:156(calculate_fees)
        1    0.000    0.000    0.000    0.000 _js_handle.py:51(JSHandle)
        1    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 <frozen os>:719(copy)
      131    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 decoder.py:15(PulseDecoder)
        8    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        1    0.000    0.000    0.000    0.000 decoder.py:27(parse_snapshot)
        1    0.000    0.000    0.000    0.000 security_mixin.py:1(<module>)
       87    0.000    0.000    0.000    0.000 __init__.py:200(_is_internal_frame)
        3    0.000    0.000    0.000    0.000 unix_connect.py:80(_get_unix_socket)
        2    0.000    0.000    0.000    0.000 selector_events.py:99(close)
        1    0.000    0.000    0.000    0.000 interceptors.py:87(<lambda>)
       29    0.000    0.000    0.000    0.000 ansitowin32.py:185(reset_all)
        1    0.000    0.000    0.000    0.000 unix_events.py:951(_do_wait)
      641    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      116    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
       87    0.000    0.000    0.000    0.000 events.py:127(__lt__)
       16    0.000    0.000    0.000    0.000 selectors.py:351(register)
      132    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      763    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        7    0.000    0.000    0.000    0.000 _frame.py:109(<lambda>)
       10    0.000    0.000    0.000    0.000 target.py:83(from_json)
       23    0.000    0.000    0.000    0.000 selectors.py:180(get_key)
        1    0.000    0.000    0.000    0.000 xtest.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _network.py:130(__init__)
        1    0.000    0.000    0.000    0.000 account.py:1(<module>)
        1    0.000    0.000    0.000    0.000 network.py:719(CorsError)
        2    0.000    0.000    0.000    0.000 client.py:176(process_extensions)
        1    0.000    0.000    0.000    0.000 typing.py:1(<module>)
        2    0.000    0.000    0.000    0.000 selector_events.py:69(_make_socket_transport)
        2    0.000    0.000    0.000    0.000 {built-in method _socket.getaddrinfo}
       26    0.000    0.000    0.000    0.000 timeouts.py:129(timeout)
       12    0.000    0.000    0.000    0.000 target.py:449(get_target_info)
        1    0.000    0.000    0.000    0.000 service.py:38(Service)
        3    0.000    0.000    0.000    0.000 xfixes.py:189(init)
        1    0.000    0.000    0.000    0.000 _driver.py:25(compute_driver_executable)
       16    0.000    0.000    0.000    0.000 messages.py:37(put)
       27    0.000    0.000    0.000    0.000 _base.py:393(done)
       24    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        4    0.000    0.000    0.000    0.000 timeouts.py:121(_on_timeout)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        4    0.000    0.000    0.000    0.000 util.py:1(<module>)
       28    0.000    0.000    0.000    0.000 warnings.py:182(_add_filter)
        1    0.000    0.000    0.000    0.000 composite.py:1(<module>)
        2    0.000    0.000    0.000    0.000 parse.py:1116(_splithost)
        5    0.000    0.000    0.000    0.000 base_events.py:411(__init__)
      353    0.000    0.000    0.000    0.000 types.py:192(__init__)
        2    0.000    0.000    0.000    0.000 uri.py:60(parse_uri)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        7    0.000    0.000    0.000    0.000 _frame.py:128(_on_frame_navigated)
        2    0.000    0.000    0.000    0.000 request.py:2547(proxy_bypass_environment)
        1    0.000    0.000    0.000    0.000 _network.py:129(Request)
        1    0.000    0.000    0.000    0.000 feedparser.py:171(feed)
        2    0.000    0.000    0.000    0.000 selector_events.py:936(__init__)
        1    0.000    0.000    0.000    0.000 thread.py:1(<module>)
     1102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        6    0.000    0.000    0.000    0.000 threading.py:882(__init__)
       29    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        6    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      171    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       10    0.000    0.000    0.000    0.000 typing_extensions.py:2942(__call__)
      132    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 storage.py:165(SharedStorageAccessType)
        1    0.000    0.000    0.000    0.000 browser.py:116(PermissionType)
     29/5    0.000    0.000    0.000    0.000 _connection.py:177(_dispose)
        2    0.000    0.000    0.000    0.000 _helper.py:529(async_readfile)
        6    0.000    0.000    0.000    0.000 functools.py:852(register)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        3    0.000    0.000    0.000    0.000 xauth.py:35(__init__)
        1    0.000    0.000    0.000    0.000 _set_input_files_helpers.py:43(InputFilesList)
        2    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        2    0.000    0.000    0.000    0.000 base_events.py:586(shutdown_default_executor)
        1    0.000    0.000    0.000    0.000 french.py:1(<module>)
       17    0.000    0.000    0.000    0.000 locks.py:13(__aenter__)
      795    0.000    0.000    0.000    0.000 base.py:178(_emit_handle_potential_error)
        3    0.000    0.000    0.000    0.000 ansi.py:26(__init__)
       90    0.000    0.000    0.000    0.000 inspect.py:2461(_descriptor_get)
       44    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 _helper.py:274(HarLookupResult)
       54    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        2    0.000    0.000    0.000    0.000 parse.py:555(urljoin)
       54    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
        1    0.000    0.000    0.000    0.000 ext.py:1(<module>)
        1    0.000    0.000    0.000    0.000 firefox_profile.py:43(FirefoxProfile)
        6    0.000    0.000    0.000    0.000 virtual_authenticator.py:209(required_virtual_authenticator)
        1    0.000    0.000    0.000    0.000 security_mixin.py:8(SecurityMixin)
      567    0.000    0.000    0.000    0.000 typing.py:1603(__eq__)
        2    0.000    0.000    0.000    0.000 _browser_context.py:132(<lambda>)
      216    0.000    0.000    0.000    0.000 display.py:222(__getattr__)
        3    0.000    0.000    0.000    0.000 tempfile.py:281(rng)
        2    0.000    0.000    0.000    0.000 _page.py:189(<lambda>)
        2    0.000    0.000    0.000    0.000 feedparser.py:176(_call_parse)
        3    0.000    0.000    0.000    0.000 pathlib.py:731(parent)
        1    0.000    0.000    0.000    0.000 network.py:92(ErrorReason)
        3    0.000    0.000    0.000    0.000 xinput.py:760(init)
        1    0.000    0.000    0.000    0.000 spanish.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:60(Sectioned)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.anext}
        1    0.000    0.000    0.000    0.000 webbrowser.py:1(<module>)
        3    0.000    0.000    0.000    0.000 thread.py:126(__init__)
       21    0.000    0.000    0.000    0.000 __init__.py:585(_genericPyAutoGUIChecks)
        9    0.000    0.000    0.000    0.000 typing.py:1261(__or__)
        1    0.000    0.000    0.000    0.000 damage.py:1(<module>)
        9    0.000    0.000    0.000    0.000 socket.py:500(close)
      188    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 api_client.py:16(StealthApiClient)
        2    0.000    0.000    0.000    0.000 http11.py:329(parse_headers)
        1    0.000    0.000    0.000    0.000 _logging.py:1(<module>)
       29    0.000    0.000    0.000    0.000 __init__.py:674(formatMessage)
        5    0.000    0.000    0.000    0.000 selector_events.py:294(_remove_reader)
        2    0.000    0.000    0.000    0.000 _browser_context.py:566(_on_close)
        2    0.000    0.000    0.000    0.000 <frozen importlib.util>:71(find_spec)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
        4    0.000    0.000    0.000    0.000 random.py:126(__init__)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _clock.py:1(<module>)
       34    0.000    0.000    0.000    0.000 <frozen posixpath>:179(dirname)
        2    0.000    0.000    0.000    0.000 _page.py:341(_on_close)
        2    0.000    0.000    0.000    0.000 traceback.py:525(format)
        1    0.000    0.000    0.000    0.000 network.py:1524(SetCookieBlockedReason)
      277    0.000    0.000    0.000    0.000 rq.py:293(__init__)
        1    0.000    0.000    0.000    0.000 _connection.py:261(Connection)
        3    0.000    0.000    0.000    0.000 damage.py:158(init)
        1    0.000    0.000    0.000    0.000 client.py:468(read)
        1    0.000    0.000    0.000    0.000 types.py:282(TokenState)
       74    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
        2    0.000    0.000    0.000    0.000 protocol.py:89(__init__)
        1    0.000    0.000    0.000    0.000 network.py:21(ResourceType)
        1    0.000    0.000    0.000    0.000 _page.py:111(LocatorHandler)
        2    0.000    0.000    0.000    0.000 feedparser.py:216(_parsegen)
       24    0.000    0.000    0.000    0.000 _js_handle.py:132(serialize_value)
      712    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        1    0.000    0.000    0.000    0.000 baseline_security_mixin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _generated.py:6677(Worker)
       92    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
        1    0.000    0.000    0.000    0.000 _map.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fields.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _abnf.py:106(ABNF)
        1    0.000    0.000    0.000    0.000 _generated.py:650(Route)
       13    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Compress' objects}
        1    0.000    0.000    0.000    0.000 datastructures.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1126(__init__)
       91    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 process_mechanism.py:1(<module>)
       30    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
       10    0.000    0.000    0.000    0.000 tempfile.py:224(_infer_return_type)
        1    0.000    0.000    0.000    0.000 japanese.py:1(<module>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        2    0.000    0.000    0.000    0.000 webelement.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
       29    0.000    0.000    0.000    0.000 __init__.py:462(format)
        4    0.000    0.000    0.000    0.000 datastructures.py:68(__init__)
       15    0.000    0.000    0.000    0.000 secrets.py:33(token_bytes)
       18    0.000    0.000    0.000    0.000 <frozen posixpath>:413(abspath)
        1    0.000    0.000    0.000    0.000 _dispatcher.py:1(<module>)
       24    0.000    0.000    0.000    0.000 uuid.py:280(__str__)
        1    0.000    0.000    0.000    0.000 _sync_base.py:88(SyncBase)
        1    0.000    0.000    0.000    0.000 portuguese.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _local_utils.py:24(__init__)
       29    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
        5    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
        8    0.000    0.000    0.000    0.000 <frozen os>:688(__setitem__)
       17    0.000    0.000    0.000    0.000 locks.py:363(acquire)
        1    0.000    0.000    0.000    0.000 config.py:37(Config)
        1    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        2    0.000    0.000    0.000    0.000 selector_events.py:679(_sock_write_done)
       31    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        8    0.000    0.000    0.000    0.000 socket.py:496(_real_close)
        2    0.000    0.000    0.000    0.000 permessage_deflate.py:368(process_response_params)
        1    0.000    0.000    0.000    0.000 _adapters.py:19(Message)
        1    0.000    0.000    0.000    0.000 network.py:1561(CookieBlockedReason)
        3    0.000    0.000    0.000    0.000 random.py:135(seed)
        1    0.000    0.000    0.000    0.000 types.py:14(PulseToken)
      632    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        5    0.000    0.000    0.000    0.000 easyprocess.py:79(__init__)
        4    0.000    0.000    0.000    0.000 base_events.py:1652(connect_write_pipe)
        4    0.000    0.000    0.000    0.000 datastructures.py:132(update)
       15    0.000    0.000    0.000    0.000 warnings.py:166(simplefilter)
       23    0.000    0.000    0.000    0.000 selectors.py:69(__getitem__)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 types.py:314(SharedTokenState)
      132    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      370    0.000    0.000    0.000    0.000 dataclasses.py:372(__init__)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       96    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       15    0.000    0.000    0.000    0.000 base_events.py:552(_asyncgen_firstiter_hook)
       14    0.000    0.000    0.000    0.000 _contradict.py:92(_check_key)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       12    0.000    0.000    0.000    0.000 traceback.py:460(format_frame_summary)
        1    0.000    0.000    0.000    0.000 _generated.py:12886(cookies)
        1    0.000    0.000    0.000    0.000 dutch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sb_manager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 storage.py:1022(AttributionReportingEventLevelResult)
        1    0.000    0.000    0.000    0.000 argparse.py:2020(consume_optional)
      682    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:214(_safe_realpath)
       31    0.000    0.000    0.000    0.000 {method 'get_nowait' of '_queue.SimpleQueue' objects}
        2    0.000    0.000    0.000    0.000 selector_events.py:369(remove_writer)
      264    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       15    0.000    0.000    0.000    0.000 contextlib.py:332(helper)
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
     1160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       33    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 italian.py:1(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
        2    0.000    0.000    0.000    0.000 tasks.py:731(gather)
        3    0.000    0.000    0.000    0.000 shape.py:286(init)
       45    0.000    0.000    0.000    0.000 display.py:63(__getitem__)
        1    0.000    0.000    0.000    0.000 _url.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:99(__call__)
       13    0.000    0.000    0.000    0.000 locks.py:19(__aexit__)
        1    0.000    0.000    0.000    0.000 _waiter.py:1(<module>)
        2    0.000    0.000    0.000    0.000 service.py:27(Service)
        1    0.000    0.000    0.000    0.000 client.py:266(__init__)
        1    0.000    0.000    0.000    0.000 utf1632prober.py:1(<module>)
        1    0.000    0.000    0.000    0.000 process_lock.py:83(_try_acquire)
        1    0.000    0.000    0.000    0.000 page.py:737(TransitionType)
        1    0.000    0.000    0.000    0.000 jpcntx.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {function socket.close at 0x7f4cc8e23b00}
        2    0.000    0.000    0.000    0.000 {built-in method fcntl.lockf}
      116    0.000    0.000    0.000    0.000 enum.py:986(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 ge.py:1(<module>)
      189    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 process_lock.py:202(trylock)
        1    0.000    0.000    0.000    0.000 argparse.py:1899(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 _socket.py:55(sock_opt)
        1    0.000    0.000    0.000    0.000 runners.py:150(_on_sigint)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
     1285    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      180    0.000    0.000    0.000    0.000 inspect.py:1813(_shadowed_dict)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 risk_mixin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sbcharsetprober.py:35(SingleByteCharSetModel)
      393    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        5    0.000    0.000    0.000    0.000 socket.py:596(socketpair)
      185    0.000    0.000    0.000    0.000 XK.py:28(string_to_keysym)
        1    0.000    0.000    0.000    0.000 __init__.py:179(sub)
        1    0.000    0.000    0.000    0.000 _sync_base.py:69(EventContextManager)
       16    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.000    0.000 permessage_deflate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 process_mechanism.py:59(trylock)
      227    0.000    0.000    0.000    0.000 rq.py:153(__init__)
        6    0.000    0.000    0.000    0.000 threading.py:1043(_set_tstate_lock)
      472    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 baseline_buy_rules_mixin.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _network.py:72(FallbackOverrideParameters)
        1    0.000    0.000    0.000    0.000 _helper.py:395(RouteHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:199(split)
        1    0.000    0.000    0.000    0.000 russian.py:1(<module>)
       29    0.000    0.000    0.000    0.000 __init__.py:455(_format)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
      104    0.000    0.000    0.000    0.000 rq.py:496(__init__)
        3    0.000    0.000    0.000    0.000 ge.py:109(init)
        3    0.000    0.000    0.000    0.000 typing_extensions.py:670(__new__)
       48    0.000    0.000    0.000    0.000 display.py:353(send_request)
        2    0.000    0.000    0.000    0.000 permessage_deflate.py:41(__init__)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
       45    0.000    0.000    0.000    0.000 rq.py:423(pack_value)
        1    0.000    0.000    0.000    0.000 client.py:430(_close_conn)
       10    0.000    0.000    0.000    0.000 api_templates.py:55(get_last_transaction)
        1    0.000    0.000    0.000    0.000 storage.py:114(InterestGroupAccessType)
       62    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
        2    0.000    0.000    0.000    0.000 functools.py:904(wrapper)
       90    0.000    0.000    0.000    0.000 inspect.py:2133(_signature_is_functionlike)
       19    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 api_client.py:208(get_market_lighthouse)
        1    0.000    0.000    0.000    0.000 frames.py:56(CloseCode)
        1    0.000    0.000    0.000    0.000 storage.py:30(StorageType)
        1    0.000    0.000    0.000    0.000 korean.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _api_structures.py:117(ClientCertificate)
      370    0.000    0.000    0.000    0.000 dataclasses.py:433(<genexpr>)
        1    0.000    0.000    0.000    0.000 by.py:1(<module>)
        2    0.000    0.000    0.000    0.000 subprocess.py:188(communicate)
        8    0.000    0.000    0.000    0.000 typing.py:1264(__ror__)
        1    0.000    0.000    0.000    0.000 argparse.py:2241(_match_argument)
        2    0.000    0.000    0.000    0.000 selector_events.py:779(__init__)
        1    0.000    0.000    0.000    0.000 _impl_to_api_mapping.py:84(from_impl_list)
        9    0.000    0.000    0.000    0.000 typing.py:1841(__init__)
        1    0.000    0.000    0.000    0.000 print_page_options.py:1(<module>)
        1    0.000    0.000    0.000    0.000 process_lock.py:58(InterProcessLock)
       53    0.000    0.000    0.000    0.000 events.py:72(cancel)
        1    0.000    0.000    0.000    0.000 _collections.py:27(Pair)
        3    0.000    0.000    0.000    0.000 screensaver.py:191(init)
       14    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        2    0.000    0.000    0.000    0.000 unix_events.py:191(_make_write_pipe_transport)
        1    0.000    0.000    0.000    0.000 __init__.py:376(ZipInfo)
        1    0.000    0.000    0.000    0.000 network.py:159(ConnectionType)
        1    0.000    0.000    0.000    0.000 network.py:663(BlockedReason)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        1    0.000    0.000    0.000    0.000 structs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:791(__init__)
        1    0.000    0.000    0.000    0.000 storage.py:754(AttributionReportingSourceRegistrationResult)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
        4    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
       16    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.000    0.000 _generated.py:7114(ConsoleMessage)
      500    0.000    0.000    0.000    0.000 baseline_strategy_main.py:17(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
       13    0.000    0.000    0.000    0.000 api_templates.py:60(get_holder_data)
        6    0.000    0.000    0.000    0.000 headers.py:165(parse_list)
        1    0.000    0.000    0.000    0.000 _api_structures.py:207(FrameExpectOptions)
      131    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        7    0.000    0.000    0.000    0.000 _impl_to_api_mapping.py:85(<lambda>)
      379    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
      315    0.000    0.000    0.000    0.000 typing.py:1598(_value_and_type_iter)
      279    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 _browser_context.py:197(<lambda>)
